name_hh_member,relation_to_hh_head,gender_hh_member,age_hh_member,parent_key
sally,1,1,54,uuid:04056c39-f453-4454-a8b4-6c2f231b23ae
rosalynne,3,1,22,uuid:04056c39-f453-4454-a8b4-6c2f231b23ae
korinna,5,1,6,uuid:04056c39-f453-4454-a8b4-6c2f231b23ae
osborne,1,0,55,uuid:0417b2fd-6bc0-45ef-a6da-38e3cc2db6b1
travis,3,0,20,uuid:0417b2fd-6bc0-45ef-a6da-38e3cc2db6b1
tyreek,3,0,12,uuid:0417b2fd-6bc0-45ef-a6da-38e3cc2db6b1
vinal,3,0,9,uuid:0417b2fd-6bc0-45ef-a6da-38e3cc2db6b1
camden,3,0,1,uuid:0417b2fd-6bc0-45ef-a6da-38e3cc2db6b1
jacquette,2,1,38,uuid:0417b2fd-6bc0-45ef-a6da-38e3cc2db6b1
fanny,3,1,17,uuid:0417b2fd-6bc0-45ef-a6da-38e3cc2db6b1
piety,3,1,5,uuid:0417b2fd-6bc0-45ef-a6da-38e3cc2db6b1
chesley,1,0,36,uuid:0499e331-27bf-4ec5-8c19-3fdd1acd958b
bridgette,2,1,28,uuid:0499e331-27bf-4ec5-8c19-3fdd1acd958b
_liane,3,1,4,uuid:0499e331-27bf-4ec5-8c19-3fdd1acd958b
isolde,3,1,1,uuid:0499e331-27bf-4ec5-8c19-3fdd1acd958b
gerard,3,0,2,uuid:05e89879-1b70-487b-8857-6d0715f34431
beverly,1,1,27,uuid:05e89879-1b70-487b-8857-6d0715f34431
guiscard,1,0,32,uuid:06440a38-b209-4c2e-8629-6e5a8a151f8c
jerrod,3,0,6,uuid:06440a38-b209-4c2e-8629-6e5a8a151f8c
jonathan,3,0,0,uuid:06440a38-b209-4c2e-8629-6e5a8a151f8c
kora,2,1,29,uuid:06440a38-b209-4c2e-8629-6e5a8a151f8c
kory,3,0,16,uuid:072f7968-6385-4c41-87bd-b9bfff751169
olujimi,3,0,13,uuid:072f7968-6385-4c41-87bd-b9bfff751169
peppi,1,1,39,uuid:072f7968-6385-4c41-87bd-b9bfff751169
sammi,3,1,3,uuid:072f7968-6385-4c41-87bd-b9bfff751169
seth (1),5,0,3,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
wilkie,1,0,66,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
bernie,3,0,15,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
brad,3,0,7,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
devin,5,0,3,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
victoria (1),2,1,53,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
branda,3,1,28,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
jodi,3,1,25,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
mariabella,3,1,13,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
tammy,3,1,10,uuid:0751a60c-9488-4f1e-b6cc-f0044d14ab57
ellis (1),1,0,34,uuid:07a0ef5f-8996-4c8f-b5ea-71f0bbb8ae24
fernand,3,0,7,uuid:07a0ef5f-8996-4c8f-b5ea-71f0bbb8ae24
gabriel,3,0,2,uuid:07a0ef5f-8996-4c8f-b5ea-71f0bbb8ae24
alaina,2,1,30,uuid:07a0ef5f-8996-4c8f-b5ea-71f0bbb8ae24
godric,1,0,69,uuid:07c98d83-995d-4ae9-b089-6da14db5b25a
jemmy,5,0,5,uuid:07c98d83-995d-4ae9-b089-6da14db5b25a
anise,2,1,57,uuid:07c98d83-995d-4ae9-b089-6da14db5b25a
romaine,3,1,31,uuid:07c98d83-995d-4ae9-b089-6da14db5b25a
alea,5,1,0,uuid:07c98d83-995d-4ae9-b089-6da14db5b25a
junior,3,0,23,uuid:07e97e4c-83cc-4b35-8f8c-7d9cadc99df1
morton,5,0,3,uuid:07e97e4c-83cc-4b35-8f8c-7d9cadc99df1
alphonsine,1,1,57,uuid:07e97e4c-83cc-4b35-8f8c-7d9cadc99df1
tracie,3,1,26,uuid:07e97e4c-83cc-4b35-8f8c-7d9cadc99df1
randall,3,0,30,uuid:07ffb1ea-145f-4e9d-9020-bea0f7057a5a
telesphore,5,0,8,uuid:07ffb1ea-145f-4e9d-9020-bea0f7057a5a
eloise,2,1,39,uuid:07ffb1ea-145f-4e9d-9020-bea0f7057a5a
callie,3,1,28,uuid:07ffb1ea-145f-4e9d-9020-bea0f7057a5a
bilhah,5,1,4,uuid:07ffb1ea-145f-4e9d-9020-bea0f7057a5a
liane,5,1,1,uuid:07ffb1ea-145f-4e9d-9020-bea0f7057a5a
wilmer,3,0,22,uuid:083304d1-4cd9-484e-a802-77dc57f44413
beauregard,5,0,2,uuid:083304d1-4cd9-484e-a802-77dc57f44413
portia,1,1,46,uuid:083304d1-4cd9-484e-a802-77dc57f44413
hallie,3,1,28,uuid:083304d1-4cd9-484e-a802-77dc57f44413
ife,3,1,18,uuid:083304d1-4cd9-484e-a802-77dc57f44413
prue,3,1,12,uuid:083304d1-4cd9-484e-a802-77dc57f44413
kayly,3,1,10,uuid:083304d1-4cd9-484e-a802-77dc57f44413
paulette,3,1,6,uuid:083304d1-4cd9-484e-a802-77dc57f44413
benton,3,0,18,uuid:088b0b13-247c-4778-b238-30570b192ad6
elmer,3,0,13,uuid:088b0b13-247c-4778-b238-30570b192ad6
ern,3,0,2,uuid:088b0b13-247c-4778-b238-30570b192ad6
chrysanta,1,1,40,uuid:088b0b13-247c-4778-b238-30570b192ad6
laban,1,0,41,uuid:08edd1d9-b78e-49b5-a5e1-1cc17d118c4e
oluwaseun,3,0,14,uuid:08edd1d9-b78e-49b5-a5e1-1cc17d118c4e
paise,3,0,9,uuid:08edd1d9-b78e-49b5-a5e1-1cc17d118c4e
roger,3,0,8,uuid:08edd1d9-b78e-49b5-a5e1-1cc17d118c4e
royce,3,0,1,uuid:08edd1d9-b78e-49b5-a5e1-1cc17d118c4e
c_lestine,2,1,33,uuid:08edd1d9-b78e-49b5-a5e1-1cc17d118c4e
briana,3,1,13,uuid:08edd1d9-b78e-49b5-a5e1-1cc17d118c4e
francine,3,1,4,uuid:08edd1d9-b78e-49b5-a5e1-1cc17d118c4e
sanford,2,0,28,uuid:091eea60-885a-4b09-b9bf-385d9c5edd96
armel,3,0,2,uuid:091eea60-885a-4b09-b9bf-385d9c5edd96
brice,13,0,15,uuid:091eea60-885a-4b09-b9bf-385d9c5edd96
jazmine,1,1,30,uuid:091eea60-885a-4b09-b9bf-385d9c5edd96
maryanne,3,1,5,uuid:091eea60-885a-4b09-b9bf-385d9c5edd96
jaylin,3,0,12,uuid:0a0da072-030e-47b5-bd84-478971b26830
jayson,3,0,2,uuid:0a0da072-030e-47b5-bd84-478971b26830
lindy,1,1,34,uuid:0a0da072-030e-47b5-bd84-478971b26830
nova,3,1,8,uuid:0a0da072-030e-47b5-bd84-478971b26830
sunday,3,1,0,uuid:0a0da072-030e-47b5-bd84-478971b26830
jonathon,1,0,33,uuid:0a2b796e-c626-4850-acb0-9444af8e3477
kwabena,3,0,12,uuid:0a2b796e-c626-4850-acb0-9444af8e3477
michel,3,0,5,uuid:0a2b796e-c626-4850-acb0-9444af8e3477
waylon,3,0,2,uuid:0a2b796e-c626-4850-acb0-9444af8e3477
jayme,2,1,32,uuid:0a2b796e-c626-4850-acb0-9444af8e3477
jan (2),3,1,10,uuid:0a2b796e-c626-4850-acb0-9444af8e3477
christmas,2,0,34,uuid:0aa40139-eb86-488a-82d1-245cc0036877
amanda,1,1,28,uuid:0aa40139-eb86-488a-82d1-245cc0036877
leta,3,1,2,uuid:0aa40139-eb86-488a-82d1-245cc0036877
mae,3,1,0,uuid:0aa40139-eb86-488a-82d1-245cc0036877
louie,3,0,18,uuid:0bec9b50-f003-4e65-993a-f708db15df36
christiana,1,1,78,uuid:0bec9b50-f003-4e65-993a-f708db15df36
unique,5,1,3,uuid:0bec9b50-f003-4e65-993a-f708db15df36
maitland,1,0,80,uuid:0c9c6214-1402-48f5-97d1-f5bb1edff847
maximilien,5,0,16,uuid:0c9c6214-1402-48f5-97d1-f5bb1edff847
philippe,4,0,11,uuid:0c9c6214-1402-48f5-97d1-f5bb1edff847
amabel,2,1,64,uuid:0c9c6214-1402-48f5-97d1-f5bb1edff847
penny,4,1,3,uuid:0c9c6214-1402-48f5-97d1-f5bb1edff847
clay,5,0,15,uuid:0e0f551d-6d41-488d-a31e-a2649023a9ae
dell,5,0,13,uuid:0e0f551d-6d41-488d-a31e-a2649023a9ae
elwood,5,0,6,uuid:0e0f551d-6d41-488d-a31e-a2649023a9ae
lilith,1,1,68,uuid:0e0f551d-6d41-488d-a31e-a2649023a9ae
lavone,3,1,36,uuid:0e0f551d-6d41-488d-a31e-a2649023a9ae
lyn,5,1,2,uuid:0e0f551d-6d41-488d-a31e-a2649023a9ae
emmett,5,0,13,uuid:10456a1d-7b86-4464-b1e9-39004688c612
hillel,5,0,7,uuid:10456a1d-7b86-4464-b1e9-39004688c612
kermit,5,0,3,uuid:10456a1d-7b86-4464-b1e9-39004688c612
madelina,1,1,60,uuid:10456a1d-7b86-4464-b1e9-39004688c612
alys,3,1,37,uuid:10456a1d-7b86-4464-b1e9-39004688c612
lawson,3,0,25,uuid:108a5216-0079-452b-a403-7dfa66859398
marlon,5,0,13,uuid:108a5216-0079-452b-a403-7dfa66859398
ritchie,5,0,7,uuid:108a5216-0079-452b-a403-7dfa66859398
tod,5,0,2,uuid:108a5216-0079-452b-a403-7dfa66859398
barbra,1,1,66,uuid:108a5216-0079-452b-a403-7dfa66859398
anson,1,0,35,uuid:13b2ab62-96b7-4252-9d4b-307661973e8d
dolph,3,0,7,uuid:13b2ab62-96b7-4252-9d4b-307661973e8d
gosse,3,0,3,uuid:13b2ab62-96b7-4252-9d4b-307661973e8d
sibilla,2,1,37,uuid:13b2ab62-96b7-4252-9d4b-307661973e8d
honorine,3,1,9,uuid:13b2ab62-96b7-4252-9d4b-307661973e8d
kezia,3,1,1,uuid:13b2ab62-96b7-4252-9d4b-307661973e8d
harlan,1,0,42,uuid:145b25d7-f527-4744-8cfa-f264916d6792
ira,3,0,11,uuid:145b25d7-f527-4744-8cfa-f264916d6792
ivor,3,0,10,uuid:145b25d7-f527-4744-8cfa-f264916d6792
jarrod,3,0,8,uuid:145b25d7-f527-4744-8cfa-f264916d6792
jimmy,3,0,5,uuid:145b25d7-f527-4744-8cfa-f264916d6792
zoie,2,1,39,uuid:145b25d7-f527-4744-8cfa-f264916d6792
jean (2),3,1,1,uuid:145b25d7-f527-4744-8cfa-f264916d6792
joshua,3,0,28,uuid:14d3e1e1-051a-4c2a-a4bd-a8274c2f449c
jules (2),1,1,58,uuid:14d3e1e1-051a-4c2a-a4bd-a8274c2f449c
louella,5,1,3,uuid:14d3e1e1-051a-4c2a-a4bd-a8274c2f449c
kian,1,0,34,uuid:1601ba89-f342-4ce3-a17d-d91add0acbca
oswin,3,0,12,uuid:1601ba89-f342-4ce3-a17d-d91add0acbca
roch,3,0,7,uuid:1601ba89-f342-4ce3-a17d-d91add0acbca
sterling,3,0,5,uuid:1601ba89-f342-4ce3-a17d-d91add0acbca
latasha,3,1,3,uuid:1601ba89-f342-4ce3-a17d-d91add0acbca
zacchaeus,3,0,22,uuid:184d0152-4799-4939-93e1-7e96cd0e6824
lexy,1,1,63,uuid:184d0152-4799-4939-93e1-7e96cd0e6824
yvonne,3,1,32,uuid:184d0152-4799-4939-93e1-7e96cd0e6824
lesleigh,5,1,2,uuid:184d0152-4799-4939-93e1-7e96cd0e6824
absalom,1,0,64,uuid:18e3d35e-cd08-49ac-88b9-cd4266ff0acc
adrian,3,0,15,uuid:18e3d35e-cd08-49ac-88b9-cd4266ff0acc
augustine,3,0,10,uuid:18e3d35e-cd08-49ac-88b9-cd4266ff0acc
cyrus,3,0,5,uuid:18e3d35e-cd08-49ac-88b9-cd4266ff0acc
hazael,3,0,2,uuid:18e3d35e-cd08-49ac-88b9-cd4266ff0acc
agatha,2,1,36,uuid:18e3d35e-cd08-49ac-88b9-cd4266ff0acc
jason,3,0,28,uuid:190e12bd-b15a-4972-9e63-c9d690b8713c
louise,1,1,61,uuid:190e12bd-b15a-4972-9e63-c9d690b8713c
idelle,3,1,36,uuid:190e12bd-b15a-4972-9e63-c9d690b8713c
monique,5,1,8,uuid:190e12bd-b15a-4972-9e63-c9d690b8713c
r_gine,5,1,2,uuid:190e12bd-b15a-4972-9e63-c9d690b8713c
russ,1,0,45,uuid:1a21f7aa-db6a-4985-a6f5-b6e4dda0e9ed
sampson,2,0,42,uuid:1a21f7aa-db6a-4985-a6f5-b6e4dda0e9ed
toussaint,3,0,19,uuid:1a21f7aa-db6a-4985-a6f5-b6e4dda0e9ed
vergil,3,0,10,uuid:1a21f7aa-db6a-4985-a6f5-b6e4dda0e9ed
janna,3,1,15,uuid:1a21f7aa-db6a-4985-a6f5-b6e4dda0e9ed
anima (2),3,1,12,uuid:1a21f7aa-db6a-4985-a6f5-b6e4dda0e9ed
salome,3,1,3,uuid:1a21f7aa-db6a-4985-a6f5-b6e4dda0e9ed
melba,3,1,2,uuid:1a21f7aa-db6a-4985-a6f5-b6e4dda0e9ed
denny,1,0,68,uuid:1cafa6d8-97c1-40cf-b6e1-ddeec4f1eccd
everitt,3,0,1,uuid:1cafa6d8-97c1-40cf-b6e1-ddeec4f1eccd
isbel,2,1,29,uuid:1cafa6d8-97c1-40cf-b6e1-ddeec4f1eccd
brittney,4,1,6,uuid:1cafa6d8-97c1-40cf-b6e1-ddeec4f1eccd
oluwayemisi,3,1,2,uuid:1cafa6d8-97c1-40cf-b6e1-ddeec4f1eccd
ewart,5,0,3,uuid:1ccb00cb-dd8c-465d-9dbb-c247eeaf578f
godwin,5,0,0,uuid:1ccb00cb-dd8c-465d-9dbb-c247eeaf578f
clementine,1,1,50,uuid:1ccb00cb-dd8c-465d-9dbb-c247eeaf578f
melinda,3,1,20,uuid:1ccb00cb-dd8c-465d-9dbb-c247eeaf578f
peony,3,1,9,uuid:1ccb00cb-dd8c-465d-9dbb-c247eeaf578f
lucie,3,1,6,uuid:1ccb00cb-dd8c-465d-9dbb-c247eeaf578f
irvine,3,0,36,uuid:1cedfead-4e33-48bf-91a0-9c5616baade9
kirk,3,0,29,uuid:1cedfead-4e33-48bf-91a0-9c5616baade9
laurent,3,0,20,uuid:1cedfead-4e33-48bf-91a0-9c5616baade9
lovel,5,0,2,uuid:1cedfead-4e33-48bf-91a0-9c5616baade9
virginie,1,1,67,uuid:1cedfead-4e33-48bf-91a0-9c5616baade9
danielle,3,1,25,uuid:1cedfead-4e33-48bf-91a0-9c5616baade9
manasseh,5,0,8,uuid:1e287e31-1718-46fc-9262-c81827a75dac
nimbus,5,0,5,uuid:1e287e31-1718-46fc-9262-c81827a75dac
ebony,1,1,78,uuid:1e287e31-1718-46fc-9262-c81827a75dac
gena,3,1,25,uuid:1e287e31-1718-46fc-9262-c81827a75dac
nerissa,5,1,6,uuid:1e287e31-1718-46fc-9262-c81827a75dac
brande,5,1,4,uuid:1e287e31-1718-46fc-9262-c81827a75dac
kalyn,5,1,0,uuid:1e287e31-1718-46fc-9262-c81827a75dac
brent,5,0,6,uuid:1fa7b4bb-fae7-4487-b59e-e4551977c887
claud,5,0,1,uuid:1fa7b4bb-fae7-4487-b59e-e4551977c887
morgana,1,1,68,uuid:1fa7b4bb-fae7-4487-b59e-e4551977c887
karaugh,3,1,32,uuid:1fa7b4bb-fae7-4487-b59e-e4551977c887
katriona,5,1,10,uuid:1fa7b4bb-fae7-4487-b59e-e4551977c887
corin,3,0,15,uuid:1fe83d05-29e3-411b-a9c9-90f1493c9d75
darryl,3,0,6,uuid:1fe83d05-29e3-411b-a9c9-90f1493c9d75
denholm,3,0,1,uuid:1fe83d05-29e3-411b-a9c9-90f1493c9d75
twyla,1,1,39,uuid:1fe83d05-29e3-411b-a9c9-90f1493c9d75
boitumelo,3,1,3,uuid:1fe83d05-29e3-411b-a9c9-90f1493c9d75
elisha,2,0,26,uuid:20110723-f0d5-4951-86f0-e5c96e561c30
ernest,3,0,1,uuid:20110723-f0d5-4951-86f0-e5c96e561c30
shiphrah,1,1,28,uuid:20110723-f0d5-4951-86f0-e5c96e561c30
nadia (1),3,1,9,uuid:20110723-f0d5-4951-86f0-e5c96e561c30
chrissy,3,1,5,uuid:20110723-f0d5-4951-86f0-e5c96e561c30
gervase,1,0,59,uuid:20c5bb11-aff2-4043-9499-1da83120b51b
kenaniah,3,0,15,uuid:20c5bb11-aff2-4043-9499-1da83120b51b
manon,2,1,35,uuid:20c5bb11-aff2-4043-9499-1da83120b51b
allegria,3,1,11,uuid:20c5bb11-aff2-4043-9499-1da83120b51b
axelle,3,1,10,uuid:20c5bb11-aff2-4043-9499-1da83120b51b
cyndi,3,1,1,uuid:20c5bb11-aff2-4043-9499-1da83120b51b
lucas,1,0,29,uuid:210a045b-a615-4713-9d44-0897a5bd6aab
eleanora,2,1,21,uuid:210a045b-a615-4713-9d44-0897a5bd6aab
gertie,3,1,11,uuid:210a045b-a615-4713-9d44-0897a5bd6aab
linnaea,3,1,9,uuid:210a045b-a615-4713-9d44-0897a5bd6aab
katelin,3,1,2,uuid:210a045b-a615-4713-9d44-0897a5bd6aab
martie,1,0,61,uuid:21326842-6343-43f8-8f10-77ab2e6d91a5
matthieu,5,0,15,uuid:21326842-6343-43f8-8f10-77ab2e6d91a5
neely,5,0,1,uuid:21326842-6343-43f8-8f10-77ab2e6d91a5
laryn,2,1,55,uuid:21326842-6343-43f8-8f10-77ab2e6d91a5
lilian,3,1,37,uuid:21326842-6343-43f8-8f10-77ab2e6d91a5
maralyn,5,1,13,uuid:21326842-6343-43f8-8f10-77ab2e6d91a5
myra,5,1,4,uuid:21326842-6343-43f8-8f10-77ab2e6d91a5
wilton,1,0,79,uuid:21bac38f-9ba4-4dc1-b798-ab07a7a6d2c6
wright,3,0,20,uuid:21bac38f-9ba4-4dc1-b798-ab07a7a6d2c6
zack,5,0,2,uuid:21bac38f-9ba4-4dc1-b798-ab07a7a6d2c6
bea,2,1,58,uuid:21bac38f-9ba4-4dc1-b798-ab07a7a6d2c6
jerrie,3,1,18,uuid:21bac38f-9ba4-4dc1-b798-ab07a7a6d2c6
edward,2,0,34,uuid:221c6d75-8a9e-463d-9e14-461f04c3fc66
_tienne,3,0,12,uuid:221c6d75-8a9e-463d-9e14-461f04c3fc66
geoff,3,0,6,uuid:221c6d75-8a9e-463d-9e14-461f04c3fc66
erin,1,1,33,uuid:221c6d75-8a9e-463d-9e14-461f04c3fc66
jacinda,3,1,1,uuid:221c6d75-8a9e-463d-9e14-461f04c3fc66
alice,4,1,12,uuid:221c6d75-8a9e-463d-9e14-461f04c3fc66
nickolas,1,0,73,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
papillion,3,0,22,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
wekesa,3,0,19,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
zebedee,5,0,12,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
bryan,5,0,10,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
dominick,5,0,11,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
jenessa,5,1,7,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
sandrine,5,1,2,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
ambre,2,1,58,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
nellie,3,1,28,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
rachael,3,1,16,uuid:231da398-468c-4e81-9f8d-8977e40dd3d5
kwadwo,1,0,42,uuid:24096864-a37c-4627-a1a1-b8ee4c79a886
matt,3,0,12,uuid:24096864-a37c-4627-a1a1-b8ee4c79a886
maynard,3,0,0,uuid:24096864-a37c-4627-a1a1-b8ee4c79a886
ama,2,1,43,uuid:24096864-a37c-4627-a1a1-b8ee4c79a886
kendra,3,1,3,uuid:24096864-a37c-4627-a1a1-b8ee4c79a886
laurissa,1,1,34,uuid:2457287c-fbc6-440f-a874-043052880313
tamsin,3,1,9,uuid:2457287c-fbc6-440f-a874-043052880313
wynter,3,1,6,uuid:2457287c-fbc6-440f-a874-043052880313
kimberly,3,1,0,uuid:2457287c-fbc6-440f-a874-043052880313
thorley,13,0,12,uuid:24b7e4a8-7db9-4bcd-b2ad-a9bc19dd80f1
pauline,1,1,75,uuid:24b7e4a8-7db9-4bcd-b2ad-a9bc19dd80f1
aude,5,1,35,uuid:24b7e4a8-7db9-4bcd-b2ad-a9bc19dd80f1
bernardine,13,1,2,uuid:24b7e4a8-7db9-4bcd-b2ad-a9bc19dd80f1
uri,1,0,46,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
andy,3,0,19,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
christophe,3,0,15,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
gillian,2,1,47,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
michelyne,13,1,23,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
carlene,3,1,21,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
emely,3,1,13,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
jacklyn,3,1,3,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
kaleigh,5,1,0,uuid:250c630b-b340-4bb3-a5f0-975e65b24177
darwin,3,0,14,uuid:25536cfa-5224-4e38-acc8-b23db2eb0ed7
enos,3,0,2,uuid:25536cfa-5224-4e38-acc8-b23db2eb0ed7
yolanda,1,1,44,uuid:25536cfa-5224-4e38-acc8-b23db2eb0ed7
ephraim,1,0,26,uuid:26aed4cd-19d3-4dd6-b4c1-9e525f4d8098
kweku,3,0,1,uuid:26aed4cd-19d3-4dd6-b4c1-9e525f4d8098
honey,2,1,24,uuid:26aed4cd-19d3-4dd6-b4c1-9e525f4d8098
tanesha,3,1,3,uuid:26aed4cd-19d3-4dd6-b4c1-9e525f4d8098
peregrine,2,0,35,uuid:2720b838-cf91-495f-a0c1-bba977c5ab5f
rich,3,0,18,uuid:2720b838-cf91-495f-a0c1-bba977c5ab5f
roderick,3,0,0,uuid:2720b838-cf91-495f-a0c1-bba977c5ab5f
tetty,1,1,79,uuid:2720b838-cf91-495f-a0c1-bba977c5ab5f
eulalie,3,1,9,uuid:2720b838-cf91-495f-a0c1-bba977c5ab5f
